Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
212,flutter-design-patterns,1829,376,1829,4,07/10/2019,02/11/2024,4.72 MB,4831,Flutter Design Patterns application,Dart,https://github.com/mkobuolys/flutter-design-patterns
213,flutter-chat-demo,1829,691,1829,13,14/08/2018,18/06/2025,6.42 MB,6577,The chat app made by Flutter and Firebase,Dart,https://github.com/duytq94/flutter-chat-demo
214,angular,1827,232,1827,83,08/06/2016,07/10/2021,43.61 MB,44658,Fast and productive web framework provided by Dart,Dart,https://github.com/angulardart/angular
215,showcaseview,1823,511,1823,10,10/05/2019,04/11/2025,13.63 MB,13956,Flutter plugin that allows you to showcase your features on flutter application. 👌🔝🎉,Dart,https://github.com/SimformSolutionsPvtLtd/showcaseview
216,dart-pad,1823,607,1823,161,06/01/2015,05/11/2025,13.70 MB,14030,"An online Dart editor with support for console, web, and Flutter apps.",Dart,https://github.com/dart-lang/dart-pad
217,plus_plugins,1791,1174,1791,105,02/10/2020,29/10/2025,35.67 MB,36530,Flutter Community Plus Plugins,Dart,https://github.com/fluttercommunity/plus_plugins
218,oneAnime,1789,45,1789,21,12/03/2024,29/10/2025,6.07 MB,6214,一款简洁清爽无广告的看番软件。 一款带弹幕的 anime1 第三方客户端，界面符合 Material You 规范。,Dart,https://github.com/Predidit/oneAnime
219,starter_architecture_flutter_firebase,1782,484,1782,24,25/01/2020,09/09/2025,1.70 MB,1736,Time Tracking app with Flutter & Firebase,Dart,https://github.com/bizz84/starter_architecture_flutter_firebase
220,TheGorgeousLogin,1772,502,1772,2,13/09/2018,15/12/2023,12.59 MB,12896,Login page built with @flutter 😍,Dart,https://github.com/huextrat/TheGorgeousLogin
221,Flutter-Music-Player,1767,558,1767,32,24/03/2018,15/01/2024,20.85 MB,21349,Flutter Music Player - First Open Source Flutter based material design music player with audio plugin to play local music files.,Dart,https://github.com/iampawan/Flutter-Music-Player
222,panache,1752,232,1752,36,30/05/2017,27/04/2021,63.57 MB,65093,🎨 Flutter Material Theme editor,Dart,https://github.com/rxlabz/panache
223,flutter-widgets,1749,901,1749,15,01/10/2020,11/09/2025,318.74 MB,326386,"Syncfusion Flutter widgets libraries include high quality UI widgets and file-format packages to help you create rich, high-quality applications for iOS, Android, and web from a single code base.",Dart,https://github.com/syncfusion/flutter-widgets
224,NeteaseCloudMusic,1747,291,1747,0,09/10/2019,29/07/2020,1.11 MB,1139,Flutter - NeteaseCloudMusic  Flutter 版本的网易云音乐,Dart,https://github.com/fluttercandies/NeteaseCloudMusic
225,graphic,1744,185,1744,78,22/02/2020,07/08/2025,6.85 MB,7013,A grammar of data visualization and Flutter charting library.,Dart,https://github.com/entronad/graphic
226,Animated-Text-Kit,1744,321,1744,82,03/08/2018,04/10/2025,19.64 MB,20114,🔔  A flutter package to create cool and beautiful text animations. [Flutter Favorite Package],Dart,https://github.com/aagarwal1012/Animated-Text-Kit
227,FlutterWhatsAppClone,1742,686,1742,24,11/04/2018,14/05/2024,882.00 KB,882,Building a WhatsApp Clone in Flutter.,Dart,https://github.com/iampawan/FlutterWhatsAppClone
228,eso,1736,211,1736,43,28/09/2019,25/11/2023,107.15 MB,109726,"亦搜，亦看，亦闻  manga&novel reader, audio&video player in one app developed by flutter",Dart,https://github.com/mabDc/eso
229,auto_route_library,1718,457,1718,246,10/11/2019,30/10/2025,15.04 MB,15406,Flutter route generator,Dart,https://github.com/Milad-Akarie/auto_route_library
230,admin-portal,1712,565,1712,61,15/05/2018,06/11/2025,104.99 MB,107505,Invoice Ninja: Desktop/mobile admin portal built with Flutter,Dart,https://github.com/invoiceninja/admin-portal
231,fijkplayer,1702,406,1702,253,29/05/2019,18/08/2024,2.84 MB,2910,ijkplayer for flutter.  ijkplayer 的 flutter 封装。 Flutter video/audio player. Flutter media player plugin for android/iOS based on ijkplayer. fijkplayer 是基于 ijkplayer 封装的 flutter 媒体播放器，开箱即用，无需编译 ijkplayer,Dart,https://github.com/befovy/fijkplayer
232,flutter_svg,1694,453,1694,248,12/03/2018,01/11/2024,2.77 MB,2836,"SVG parsing, rendering, and widget library for Flutter",Dart,https://github.com/dnfield/flutter_svg
233,FlutterFoodybite,1689,479,1689,6,23/06/2019,05/08/2024,17.77 MB,18199,Flutter representation of a Restaurant app UI.,Dart,https://github.com/JideGuru/FlutterFoodybite
234,sidekick,1681,111,1681,33,18/02/2021,16/03/2025,18.57 MB,19012,A simple app to make Flutter development more delightful,Dart,https://github.com/leoafarias/sidekick
235,jaspr,1679,136,1679,57,08/02/2022,06/11/2025,46.57 MB,47687,"Modern web framework for building websites in Dart. Supports SPAs, SSR and SSG.",Dart,https://github.com/schultek/jaspr
236,devtools,1676,362,1676,821,06/08/2018,06/11/2025,249.72 MB,255716,Performance tools for Flutter,Dart,https://github.com/flutter/devtools
237,flutter_carousel_slider,1675,604,1675,222,16/04/2018,02/07/2025,41.60 MB,42603,"A flutter carousel widget, support infinite scroll, and custom child widget.",Dart,https://github.com/serenader2014/flutter_carousel_slider
238,flutter_smooth,1660,69,1660,31,27/09/2022,01/10/2025,9.45 MB,9677,"Achieve ~60 FPS, no matter how heavy the tree is to build/layout",Dart,https://github.com/fzyzcjy/flutter_smooth
239,git-touch,1657,150,1657,88,18/04/2018,28/07/2024,12.76 MB,13066,"An open-source app for GitHub, GitLab, Bitbucket, Gitea, and Gitee(码云), built with Flutter",Dart,https://github.com/pd4d10/git-touch
240,flutter-architecture-blueprints,1656,255,1656,32,01/08/2020,06/06/2022,110.28 MB,112927,Flutter Architecture Blueprints is a project that introduces MVVM architecture and project structure approaches to developing Flutter apps.,Dart,https://github.com/wasabeef/flutter-architecture-blueprints
241,flutter_redux,1654,212,1654,18,25/11/2017,06/04/2023,7.79 MB,7982,A library that connects Widgets to a Redux Store,Dart,https://github.com/brianegan/flutter_redux
242,flutter-tetris,1650,343,1650,0,11/01/2019,04/10/2025,16.41 MB,16802,a tetris game powered by flutter. 使用flutter开发俄罗斯方块。,Dart,https://github.com/boyan01/flutter-tetris
243,flutter_staggered_animations,1647,132,1647,11,04/09/2019,22/03/2023,962.00 KB,962,"Easily add staggered animations to your ListView, GridView, Column and Row children.",Dart,https://github.com/The-ring-io/flutter_staggered_animations
244,dynamic_widget,1634,332,1634,50,28/01/2019,25/06/2025,22.36 MB,22893,"A Backend-Driven UI toolkit, build your dynamic UI with json, and the json format is very similar with flutter widget code.",Dart,https://github.com/dengyin2000/dynamic_widget
245,flutter_platform_widgets,1634,176,1634,50,08/05/2018,28/05/2025,2.61 MB,2676,Target the specific design of Material for Android and Cupertino for iOS widgets through a common set of Platform aware widgets,Dart,https://github.com/stryder-dev/flutter_platform_widgets
246,flutter_wechat_assets_picker,1623,505,1623,11,26/03/2020,15/08/2025,29.80 MB,30516,An image picker (also with video and audio) for Flutter projects based on the WeChat's UI.,Dart,https://github.com/fluttercandies/flutter_wechat_assets_picker
247,flutter_tiktok,1614,453,1614,3,20/05/2020,15/05/2024,6.08 MB,6223,Flutter tiktok short video app.,Dart,https://github.com/mjl0602/flutter_tiktok
248,moodiary,1612,121,1612,37,24/08/2024,30/06/2025,15.56 MB,15933,A fully open source cross-platform diary app written by flutter and rust.,Dart,https://github.com/ZhuJHua/moodiary
249,fluent-reader-lite,1601,99,1601,91,17/01/2021,14/04/2024,1.87 MB,1914,Simplistic mobile RSS client built with Flutter,Dart,https://github.com/yang991178/fluent-reader-lite
250,daisy,1599,66,1599,8,09/04/2022,17/05/2025,3.86 MB,3955,"美观易用且无广告的漫画和轻小说客户端, 同时支持MacOS，Windows，Android，iOS。(动漫之家)",Dart,https://github.com/niuhuan/daisy
251,json_serializable.dart,1599,435,1599,144,18/07/2017,23/10/2025,2.72 MB,2788,Generates utilities to aid in serializing to/from JSON.,Dart,https://github.com/google/json_serializable.dart
252,flutter_form_builder,1585,562,1585,52,30/10/2018,29/09/2025,82.80 MB,84784,Simple form maker for Flutter Framework,Dart,https://github.com/flutter-form-builder-ecosystem/flutter_form_builder
253,flutter_login,1585,823,1585,102,16/09/2019,27/10/2025,16.99 MB,17401,Provides login screen with login/signup functionalities to help speed up development,Dart,https://github.com/NearHuscarl/flutter_login
254,media-kit,1576,335,1576,280,23/02/2022,27/10/2025,76.71 MB,78556,A cross-platform video player & audio player for Flutter & Dart.,Dart,https://github.com/media-kit/media-kit
255,flutter_gen,1567,172,1567,27,21/08/2020,04/11/2025,6.01 MB,6155,"The Flutter code generator for your assets, fonts, colors, … — Get rid of all String-based APIs.",Dart,https://github.com/FlutterGen/flutter_gen
256,flutter_ecommerce_template,1557,717,1557,13,12/03/2020,14/08/2024,29.04 MB,29735,This is an eCommerce minimalist template with a clean and beautiful design for Flutter. ,Dart,https://github.com/robertodevs/flutter_ecommerce_template
257,ollama-app,1549,168,1549,29,23/05/2024,28/10/2025,12.36 MB,12654,A modern and easy-to-use client for Ollama,Dart,https://github.com/JHubi1/ollama-app
258,morec,1524,240,1524,6,25/03/2019,20/03/2022,40.96 MB,41942,🎥 A beautiful movie application build by flutter.,Dart,https://github.com/Mayandev/morec
259,flutter_ui_challenges,1514,286,1514,11,27/02/2018,14/11/2019,48.52 MB,49687,Flutter UI Challenges,Dart,https://github.com/tomialagbe/flutter_ui_challenges
260,flutter-challenges,1512,367,1512,1,01/01/2019,05/05/2020,46.36 MB,47474,Flutter UI examples,Dart,https://github.com/javico2609/flutter-challenges
261,flutter_file_picker,1506,823,1506,87,23/06/2018,17/10/2025,46.41 MB,47519,"File picker plugin for Flutter, compatible with mobile (iOS & Android), Web, Desktop (Mac, Linux, Windows) platforms with Flutter Go support.",Dart,https://github.com/miguelpruivo/flutter_file_picker
262,Butterfly,1499,109,1499,56,21/12/2020,06/11/2025,81.89 MB,83855,"🎨 Powerful, minimalistic, cross-platform, opensource note-taking app",Dart,https://github.com/LinwoodDev/Butterfly
263,VelocityX,1499,220,1499,15,16/03/2020,23/02/2025,2.03 MB,2074,A minimalist Flutter framework for rapidly building Flutter apps.,Dart,https://github.com/iampawan/VelocityX
264,dart_pdf,1498,699,1498,334,07/07/2018,09/10/2025,17.97 MB,18399,Pdf creation module for dart/flutter,Dart,https://github.com/DavBfr/dart_pdf
265,Flutter-UI-Kits,1488,414,1488,1,16/02/2019,28/08/2022,4.45 MB,4552,Flutter UI Designs !! ,Dart,https://github.com/leo-elstin/Flutter-UI-Kits
266,flokk,1486,273,1486,33,16/06/2020,13/07/2023,12.58 MB,12886,A fresh and modern Google Contacts manager that integrates with GitHub and Twitter.,Dart,https://github.com/gskinnerTeam/flokk
267,kobi,1484,55,1484,29,07/11/2023,21/07/2025,4.86 MB,4974,"美观易用且无广告的漫画和轻小说客户端, 同时支持MacOS，Windows，Android，iOS。(拷贝漫画)",Dart,https://github.com/niuhuan/kobi
268,bujuan,1478,85,1478,47,03/03/2021,18/09/2025,85.79 MB,87854,Flutter移动端+桌面端三方网易云播放器,Dart,https://github.com/2697a/bujuan
269,flui,1465,136,1465,15,04/07/2019,18/05/2023,22.60 MB,23146,A powerful UI framework for Google Flutter.,Dart,https://github.com/Rannie/flui
270,lunasea,1463,135,1463,18,11/12/2019,03/04/2025,21.64 MB,22163,Self-hosted software controller built using Flutter,Dart,https://github.com/jagandeepbrar/lunasea
271,common_utils,1455,267,1455,15,10/09/2018,09/01/2023,460.00 KB,460,"Dart common utils library. DateUtil, EncryptUtil, JsonUtil, LogUtil, MoneyUtil, NumUtil, ObjectUtil,  RegexUtil, TextUtil, TimelineUtil, TimerUtil. 包含日期，正则，倒计时，时间轴等工具类。",Dart,https://github.com/Sky24n/common_utils
272,flutter-ui-kits,1452,446,1452,4,09/01/2021,09/10/2024,270.39 MB,276880,Free Flutter UI Kits developed by Olayemi Garuba,Dart,https://github.com/olayemii/flutter-ui-kits
273,flutter_native_splash,1444,240,1444,40,25/08/2019,17/10/2025,3.41 MB,3487,"Automatically generates native code for adding splash screens in Android and iOS. Customize with specific platform, background color and splash image.",Dart,https://github.com/jonbhanson/flutter_native_splash
274,fritter,1442,90,1442,167,02/02/2021,26/10/2025,5.28 MB,5405,A privacy-friendly Twitter frontend for mobile devices,Dart,https://github.com/jonjomckay/fritter
275,at_client_sdk,1442,31,1442,190,27/10/2020,06/11/2025,25.58 MB,26198,The Dart implementation of atSDK used for implementing Atsign's technology into other software,Dart,https://github.com/atsign-foundation/at_client_sdk
276,flutter.widgets,1437,528,1437,259,26/02/2018,08/08/2024,717.00 KB,717,,Dart,https://github.com/google/flutter.widgets
277,chrono,1435,56,1435,157,04/01/2023,13/01/2025,8.98 MB,9195,"A modern and powerful clock, alarms, timer and stopwatch app for Android!",Dart,https://github.com/vicolo-dev/chrono
278,get_it,1435,156,1435,8,20/05/2018,03/11/2025,1.45 MB,1480,Get It - Simple direct Service Locator that allows to decouple the interface from a concrete implementation and to access the concrete implementation from everywhere in your App. Maintainer: @escamoteur,Dart,https://github.com/flutter-it/get_it
279,flutter_dojo,1429,201,1429,4,05/02/2020,27/03/2022,17.29 MB,17702,A beautiful design and useful project for Building a flutter knowledge architecture,Dart,https://github.com/xuyisheng/flutter_dojo
280,news_toolkit,1428,240,1428,21,13/04/2022,03/11/2025,17.97 MB,18397,"A news template application built in Flutter, by Google and Very Good Ventures. Learn more at: https://vgventures.github.io/news_toolkit/",Dart,https://github.com/VGVentures/news_toolkit
281,jidoujisho,1423,77,1423,128,31/01/2021,20/10/2025,313.95 MB,321483,A full-featured immersion language learning suite for mobile.,Dart,https://github.com/arianneorpilla/jidoujisho
282,forui,1421,80,1421,47,25/02/2024,06/11/2025,152.97 MB,156637,Forus Lab's Flutter UI library,Dart,https://github.com/forus-labs/forui
283,layout-demo-flutter,1411,332,1411,2,20/05/2018,04/09/2025,4.00 MB,4096,Super Useful Flutter Layouts - Right in Your Pocket. 😉,Dart,https://github.com/bizz84/layout-demo-flutter
284,BloomeeTunes,1403,126,1403,116,07/12/2023,22/10/2025,20.85 MB,21348,🌸Bloomee is a cross-platform music app designed to bring you ad-free tunes from various sources. 🌼🎵,Dart,https://github.com/HemantKArya/BloomeeTunes
285,bonfire,1401,192,1401,7,13/03/2020,14/10/2025,276.64 MB,283277,(RPG maker) Create RPG-style or similar games more simply with Flame.,Dart,https://github.com/RafaelBarbosatec/bonfire
286,melos,1397,240,1397,43,29/04/2020,23/10/2025,3.26 MB,3343,"🌋  A tool for managing Dart projects with multiple packages. With IntelliJ and Vscode IDE support. Supports automated versioning, changelogs & publishing via Conventional Commits.",Dart,https://github.com/invertase/melos
287,sliding_up_panel,1396,390,1396,185,18/03/2019,24/02/2024,136.11 MB,139373,A draggable Flutter widget that makes implementing a SlidingUpPanel much easier!,Dart,https://github.com/akshathjain/sliding_up_panel
288,biyi,1390,131,1390,22,06/03/2021,05/11/2025,23.92 MB,24496,Biyi (比译) is a convenient translation and dictionary app written in Flutter. ,Dart,https://github.com/lijy91/biyi
289,smooth_page_indicator,1390,160,1390,0,28/12/2019,23/02/2025,5.06 MB,5186,Flutter Smooth PageView indicators,Dart,https://github.com/Milad-Akarie/smooth_page_indicator
290,Hacki,1389,110,1389,28,25/12/2021,30/06/2025,90.39 MB,92559,A feature-rich Hacker News client.,Dart,https://github.com/Livinglist/Hacki
291,rive-flutter,1385,222,1385,52,03/12/2019,03/11/2025,10.26 MB,10505,Flutter runtime for Rive,Dart,https://github.com/rive-app/rive-flutter
292,ResponsiveFramework,1372,159,1372,42,16/02/2020,09/06/2025,189.69 MB,194242,Easily make Flutter apps responsive. Automatically adapt UI to different screen sizes. Responsiveness made simple. Demo: https://gallery.codelessly.com/flutterwebsites/minimal/,Dart,https://github.com/Codelessly/ResponsiveFramework
293,Tachidesk-Sorayomi,1363,111,1363,49,16/01/2022,09/07/2025,28.38 MB,29064,A free and open source manga reader app to read manga from a Tachidesk-Server instance.,Dart,https://github.com/Suwayomi/Tachidesk-Sorayomi
294,modular,1359,271,1359,16,08/12/2019,30/09/2025,8.89 MB,9107,A smart project structure,Dart,https://github.com/Flutterando/modular
295,SongTube-App,1358,158,1358,27,14/04/2020,28/07/2024,5.04 MB,5163,Simple & Beautiful App (Tool) made in Flutter to Download Media from YouTube,Dart,https://github.com/SongTube/SongTube-App
296,amplify-flutter,1347,269,1347,355,06/04/2020,05/11/2025,122.26 MB,125192,A declarative library with an easy-to-use interface for building Flutter applications on AWS.,Dart,https://github.com/aws-amplify/amplify-flutter
297,openreads,1347,96,1347,21,20/04/2021,04/11/2025,156.67 MB,160431,A mobile books tracker written in Flutter that respects your privacy.,Dart,https://github.com/mateusz-bak/openreads
298,json_to_dart,1341,377,1341,40,20/04/2018,16/04/2024,2.92 MB,2994,Library that generates dart classes from json strings,Dart,https://github.com/javiercbk/json_to_dart
299,styled_widget,1330,103,1330,21,26/11/2019,14/09/2023,18.19 MB,18623,Simplifying widget style in Flutter. ,Dart,https://github.com/ReinBentdal/styled_widget
300,flutter_easyloading,1326,250,1326,101,23/12/2019,26/05/2024,5.11 MB,5232,"✨A clean and lightweight loading/toast widget for Flutter, easy to use without context, support iOS、Android and Web",Dart,https://github.com/nslogx/flutter_easyloading
301,Welcome-Login-Signup-Page-Flutter,1323,863,1323,8,29/04/2020,19/05/2024,9.35 MB,9578,"Mobile app onboarding, Login, Signup page with #flutter.",Dart,https://github.com/abuanwar072/Welcome-Login-Signup-Page-Flutter
302,flutter-geolocator,1312,751,1312,133,06/06/2018,15/09/2025,2.09 MB,2137,Android and iOS Geolocation plugin for Flutter,Dart,https://github.com/Baseflow/flutter-geolocator
303,wax,1291,54,1291,10,21/05/2022,21/10/2025,2.10 MB,2149,A comic browser，support Android / iOS / MacOS / Windows / Linux.,Dart,https://github.com/ComicSparks/wax
304,Liquid-Pull-To-Refresh,1291,92,1291,16,15/12/2018,26/07/2023,15.80 MB,16177,🔁 A custom refresh indicator for flutter.,Dart,https://github.com/aagarwal1012/Liquid-Pull-To-Refresh
305,cake_wallet,1277,274,1277,265,04/01/2020,06/11/2025,93.58 MB,95826,"The open source repository for Cake Wallet, a noncustodial multi-currency wallet, and Monero.com, a noncustodial Monero-only wallet. Need help? Check out https://docs.cakewallet.com",Dart,https://github.com/cake-tech/cake_wallet
306,lottie-flutter,1266,218,1266,146,23/01/2020,08/09/2025,85.82 MB,87881,Render After Effects animations natively on Flutter. This package is a pure Dart implementation of a Lottie player.,Dart,https://github.com/xvrh/lottie-flutter
307,flutter-login-home-animation,1259,280,1259,12,19/03/2018,06/07/2021,3.37 MB,3452,,Dart,https://github.com/GeekyAnts/flutter-login-home-animation
308,flutter_offline,1257,125,1257,12,05/09/2018,21/10/2025,1.16 MB,1187,✈️ A tidy utility to handle offline/online connectivity like a Boss,Dart,https://github.com/jogboms/flutter_offline
309,WhatTodo,1256,278,1256,11,18/04/2018,17/09/2025,2.89 MB,2961,"A Simple Todo app design in Flutter to keep track of your task on daily basis. Its build on BLoC Pattern. You can add a project, labels, and due-date to your task also you can sort your task on the basis of project, label, and dates",Dart,https://github.com/burhanrashid52/WhatTodo
310,awesome-flutter-packages,1255,162,1255,1,25/02/2019,09/08/2019,13.32 MB,13636,A curated list of awesome Flutter packages.,Dart,https://github.com/simc/awesome-flutter-packages
311,RSSAid,1253,55,1253,0,01/12/2020,19/12/2024,1.62 MB,1664,RSSAid is a complementary app for RSSHub built with Flutter | RSSAid 是一个由 Flutter 构建的 RSSHub 的辅助 App,Dart,https://github.com/LeetaoGoooo/RSSAid
312,sharik,1251,114,1251,67,18/02/2020,30/07/2024,7.00 MB,7167,"Sharik is an open-source, cross-platform solution for sharing files via Wi-Fi or Mobile Hotspot",Dart,https://github.com/marchellodev/sharik
313,liquid_swipe_flutter,1249,163,1249,6,06/07/2019,08/02/2024,53.36 MB,54642,A flutter based liquid swipe,Dart,https://github.com/iamSahdeep/liquid_swipe_flutter
314,spritewidget,1249,173,1249,15,09/06/2017,23/07/2022,10.42 MB,10667,,Dart,https://github.com/spritewidget/spritewidget
315,sossoldi,1247,192,1247,65,05/09/2022,10/10/2025,7.01 MB,7174,"""Sossoldi"" is a wealth management / personal finance / Net Worth tracking app, made with Flutter.",Dart,https://github.com/RIP-Comm/sossoldi
316,coriander_player,1240,42,1240,101,20/02/2024,18/09/2025,23.32 MB,23875,"Windows端本地音乐播放器，使用Material You配色。Dart (Flutter) + Rust (lofty, windows-rs) + C (bass lib) 跨语言项目。",Dart,https://github.com/Ferry-200/coriander_player
317,image,1237,290,1237,149,09/01/2014,09/10/2025,93.99 MB,96247,"Dart Image Library for opening, manipulating, and saving various different image file formats.",Dart,https://github.com/brendan-duncan/image
318,flutter-webrtc-demo,1233,434,1233,50,11/09/2018,10/02/2025,7.12 MB,7294,Demo for flutter-webrtc,Dart,https://github.com/flutter-webrtc/flutter-webrtc-demo
319,flutter_shop,1231,380,1231,14,28/03/2019,23/10/2020,109.00 KB,109,一个Flutter的电商实战项目，包括首页、列表页、详细页、购物车页和会员中心，配有全套文字和视频教程。,Dart,https://github.com/shenghy/flutter_shop
320,flutter_smart_dialog,1228,148,1228,4,30/11/2020,20/09/2025,6.39 MB,6540,An elegant Flutter Dialog solution | 一种更优雅的 Flutter Dialog 解决方案 | https://xdd666t.github.io/flutter_use/web/index.html#/smartDialog,Dart,https://github.com/fluttercandies/flutter_smart_dialog
321,clipious,1222,42,1222,104,04/02/2023,13/09/2025,84.84 MB,86877,Invidious client for android,Dart,https://github.com/lamarios/clipious
322,Fladder,1217,61,1217,50,14/09/2024,02/11/2025,173.04 MB,177197,Fladder - A Simple Jellyfin frontend built on top of Flutter.,Dart,https://github.com/DonutWare/Fladder
323,findseat,1214,362,1214,3,01/02/2020,20/03/2022,14.54 MB,14894,A Completed Functional Flutter App - FindSeat (BLoC + Json API + Unit Test + Firebase Auth),Dart,https://github.com/KhoaSuperman/findseat
324,yubioath-flutter,1214,154,1214,80,18/02/2014,03/11/2025,44.52 MB,45593,"Yubico Authenticator for Desktop (Windows, macOS and Linux) and Android",Dart,https://github.com/Yubico/yubioath-flutter
325,flutter-ui,1214,151,1214,9,28/01/2019,11/09/2019,14.59 MB,14936,Flutter 入门教程,Dart,https://github.com/YYFlutter/flutter-ui
326,flutter_facebook_responsive_ui,1208,376,1208,6,02/08/2020,17/01/2023,1.87 MB,1912,https://youtu.be/HvLb5gdUfDE,Dart,https://github.com/MarcusNg/flutter_facebook_responsive_ui
327,plant-it,1195,70,1195,55,19/05/2023,27/10/2025,138.19 MB,141507,🪴 Open source Android gardening companion app,Dart,https://github.com/MDeLuise/plant-it
328,quickgui,1190,102,1190,37,28/10/2021,28/10/2025,15.27 MB,15636,An elegant virtual machine manager for the desktop,Dart,https://github.com/quickemu-project/quickgui
329,azlistview,1187,293,1187,40,22/01/2019,08/03/2024,1.29 MB,1318,A Flutter sticky headers & index ListView. Flutter 城市列表、联系人列表，索引&悬停。,Dart,https://github.com/flutterchina/azlistview
330,OpenNutriTracker,1185,175,1185,155,21/09/2022,27/08/2025,13.70 MB,14024,🍴 OpenNutriTracker is a free and open source calorie tracker with a focus on simplicity and privacy.,Dart,https://github.com/simonoppowa/OpenNutriTracker
331,objectbox-dart,1184,146,1184,74,18/07/2019,05/11/2025,10.61 MB,10864,Flutter database for super-fast Dart object persistence,Dart,https://github.com/objectbox/objectbox-dart
332,FlutterTravel,1183,315,1183,1,02/07/2019,17/08/2023,13.61 MB,13937,Flutter representation of a Travel App Concept.,Dart,https://github.com/JideGuru/FlutterTravel
333,google_ml_kit_flutter,1183,844,1183,32,04/12/2020,18/09/2025,151.34 MB,154969,A flutter plugin that implements Google's standalone ML Kit,Dart,https://github.com/flutter-ml/google_ml_kit_flutter
334,xiaozhi-android-client,1178,319,1178,1,23/02/2025,29/09/2025,4.82 MB,4931,"一个基于小智、xiaozhi-server的Android、IOS语音对话应用,支持实时语音交互和文字对话。现在是flutter版本，打通IOS、Android端。请同志们动动小手，点点小星星，予以鼓励。",Dart,https://github.com/TOM88812/xiaozhi-android-client
335,just_audio,1176,763,1176,323,25/11/2019,03/09/2025,1.82 MB,1867,Audio Player,Dart,https://github.com/ryanheise/just_audio
336,smooth-app,1172,397,1172,631,23/04/2020,06/11/2025,193.15 MB,197788,"🤳🥫 The new Open Food Facts mobile application for Android and iOS, crafted with Flutter and Dart",Dart,https://github.com/openfoodfacts/smooth-app
337,retrofit.dart,1166,267,1166,5,05/04/2019,03/11/2025,1.68 MB,1717,retrofit.dart is an dio client generator using source_gen and inspired by Chopper and Retrofit.,Dart,https://github.com/trevorwang/retrofit.dart
338,flutter-food-delivery-app-ui,1165,566,1165,6,01/04/2020,03/08/2024,7.20 MB,7375,The food ordering & delivery application designed based on the real-life scenario. Anyone can use this code on their own purpose. If you are interested please make your contribution to the code.,Dart,https://github.com/Tarikul711/flutter-food-delivery-app-ui
339,awesome-flutter-ui,1164,153,1164,2,10/05/2020,17/03/2021,30.66 MB,31397,"10+ flutter(android, ios) UI design examples :zap: - login, books, profile, food order, movie streaming, walkthrough, widgets",Dart,https://github.com/ajay-prabhakar/awesome-flutter-ui
340,flutter-chat-app,1152,324,1152,21,21/03/2018,21/09/2021,28.13 MB,28809,A chat app built on Flutter with firebase authentication and image sharing capability.,Dart,https://github.com/rohan20/flutter-chat-app
341,flex_color_scheme,1149,121,1149,9,16/12/2020,05/11/2025,17.45 MB,17866,A Flutter package to make and use beautiful color scheme based themes.,Dart,https://github.com/rydmike/flex_color_scheme
342,flutterlocation,1145,842,1145,168,07/07/2017,18/10/2025,13.67 MB,13995,A Flutter plugin to easily handle realtime location in iOS and Android. Provides settings for optimizing performance or battery.,Dart,https://github.com/Lyokone/flutterlocation
343,flutter-tiktok,1143,419,1143,9,14/06/2020,25/09/2022,33.68 MB,34493,A TikTok Clone in Flutter and Firebase.,Dart,https://github.com/salvadordeveloper/flutter-tiktok
344,patrol,1141,176,1141,204,25/05/2022,06/11/2025,24.36 MB,24943,Flutter-first UI testing framework. Ready for action!,Dart,https://github.com/leancodepl/patrol
345,trace,1140,338,1140,17,01/04/2018,07/03/2023,124.24 MB,127221,Modern crypto portfolio & market explorer. Built with @Flutter,Dart,https://github.com/trentpiercy/trace
346,SocialMedia-App,1139,366,1139,22,30/11/2020,30/03/2025,27.28 MB,27934,A fully functional social media app built with flutter with multiple features,Dart,https://github.com/CharlyKeleb/SocialMedia-App
347,flutter_sticky_headers,1135,132,1135,43,06/05/2018,15/03/2024,24.23 MB,24815,"Flutter Sticky Headers - Lets you place ""sticky headers"" into any scrollable content in your Flutter app. No special wrappers or magic required. Maintainer: @slightfoot",Dart,https://github.com/fluttercommunity/flutter_sticky_headers
348,pho,1127,81,1127,57,06/03/2023,20/04/2024,367.11 MB,375919,A serverless application for viewing and synchronizing photos to cloud storage,Dart,https://github.com/fregie/pho
349,medito-app,1126,140,1126,0,28/02/2021,06/11/2025,130.88 MB,134022,The Medito app is a 100% free meditation app built with flutter. The app is available on Android and iOS.,Dart,https://github.com/meditohq/medito-app
350,FlutterTianYue,1126,265,1126,12,09/05/2019,24/02/2020,18.32 MB,18761,"基于Flutter的超完整仿腾讯动漫，小说阅读，抖音视频项目，功能丰富，适合学习和日常使用，拥有较好的项目结构&比较规范的代码！Flutter入门，看这个就够了～Flutter project which  provide richer functionality, if you want to learn flutter, this project is a good choice",Dart,https://github.com/ZDfordream/FlutterTianYue
351,wave,1124,98,1124,18,28/11/2018,11/03/2024,13.70 MB,14032,A Flutter package for displaying waves.,Dart,https://github.com/glorylab/wave
352,CamerAwesome,1123,360,1123,191,23/07/2020,29/08/2025,124.04 MB,127013,📸 Embedding a camera experience within your own app shouldn't be that hard. A flutter plugin to integrate awesome Android / iOS camera experience.,Dart,https://github.com/Apparence-io/CamerAwesome
